age,income,rent_payment,savings,extra_invest,buyer_equivalent_deployment,renter_total_deployment,net_cashflow,investment_balance,net_worth
67,0.0,616803.9819392478,0.0,0.0,0.0,616803.9819392478,-616803.9819392478,12184833.789576419,12184833.789576419
68,0.0,616803.9819392478,0.0,0.0,0.0,616803.9819392478,-616803.9819392478,12420968.17290752,12420968.17290752
69,0.0,654367.344439348,0.0,0.0,0.0,654367.344439348,-654367.344439348,12636068.6005717,12636068.6005717
70,0.0,654367.344439348,0.0,0.0,0.0,654367.344439348,-654367.344439348,12866226.058172371,12866226.058172371
71,0.0,694218.3157157043,0.0,0.0,0.0,694218.3157157043,-694218.3157157043,13072643.566528734,13072643.566528734
72,0.0,694218.3157157043,0.0,0.0,0.0,694218.3157157043,-694218.3157157043,13293510.300470041,13293510.300470041
73,0.0,736496.2111427907,0.0,0.0,0.0,736496.2111427907,-736496.2111427907,13487559.810360154,13487559.810360154
74,0.0,736496.2111427907,0.0,0.0,0.0,736496.2111427907,-736496.2111427907,13695192.785942575,13695192.785942575
75,0.0,781348.8304013866,0.0,0.0,0.0,781348.8304013866,-781348.8304013866,13872507.450557169,13872507.450557169
76,0.0,781348.8304013866,0.0,0.0,0.0,781348.8304013866,-781348.8304013866,14062234.141694784,14062234.141694784
77,0.0,828932.9741728309,0.0,0.0,0.0,828932.9741728309,-828932.9741728309,14217657.55744059,14217657.55744059
78,0.0,828932.9741728309,0.0,0.0,0.0,828932.9741728309,-828932.9741728309,14383960.612288602,14383960.612288602
79,0.0,879414.9922999563,0.0,0.0,0.0,879414.9922999563,-879414.9922999563,14511422.862848848,14511422.862848848
80,0.0,879414.9922999563,0.0,0.0,0.0,879414.9922999563,-879414.9922999563,14647807.470948312,14647807.470948312
81,0.0,932971.3653310236,0.0,0.0,0.0,932971.3653310236,-932971.3653310236,14740182.628583672,14740182.628583672
82,0.0,932971.3653310236,0.0,0.0,0.0,932971.3653310236,-932971.3653310236,14839024.047253506,14839024.047253506
83,0.0,989789.3214796828,0.0,0.0,0.0,989789.3214796828,-989789.3214796828,14887966.40908157,14887966.40908157
84,0.0,989789.3214796828,0.0,0.0,0.0,989789.3214796828,-989789.3214796828,14940334.7362376,14940334.7362376
85,0.0,1050067.4911577955,0.0,0.0,0.0,1050067.4911577955,-1050067.4911577955,14936090.676616438,14936090.676616438
