age,income,rent_payment,savings,extra_invest,buyer_equivalent_deployment,renter_total_deployment,net_cashflow,investment_balance,net_worth
61,1331644.0351155666,245200.57567181755,0.0,-196424.23093508242,48776.34473673514,48776.34473673513,1282867.6903788312,13173272.053386785,13173272.053386785
62,1384909.7965201894,245200.57567181755,0.0,-195448.70404034771,49751.87163146984,49751.87163146984,1335157.9248887193,13899952.393083513,13899952.393083513
63,1440306.188380997,250129.10724282108,0.0,-199382.19817872182,50746.909064099236,50746.90906409925,1389559.2793168977,14673566.862420637,14673566.862420637
64,1497918.4359162368,250129.10724282108,0.0,-198367.25999743986,51761.84724538123,51761.847245381214,1446156.5886708556,15502349.282792643,15502349.282792643
65,0.0,255156.7022984018,0.0,0.0,0.0,255156.7022984018,-255156.7022984018,16332357.030289728,16332357.030289728
66,0.0,255156.7022984018,0.0,0.0,0.0,255156.7022984018,-255156.7022984018,17220465.320111606,17220465.320111606
67,0.0,260285.35201459972,0.0,0.0,0.0,260285.35201459972,-260285.35201459972,18165612.540504817,18165612.540504817
68,0.0,260285.35201459972,0.0,0.0,0.0,260285.35201459972,-260285.35201459972,19176920.066325553,19176920.066325553
69,0.0,265517.08759009314,0.0,0.0,0.0,265517.08759009314,-265517.08759009314,20253787.38337825,20253787.38337825
70,0.0,265517.08759009314,0.0,0.0,0.0,265517.08759009314,-265517.08759009314,21406035.41262463,21406035.41262463
71,0.0,270853.981050654,0.0,0.0,0.0,270853.981050654,-270853.981050654,22633603.9104577,22633603.9104577
72,0.0,270853.981050654,0.0,0.0,0.0,270853.981050654,-270853.981050654,23947102.203139085,23947102.203139085
73,0.0,276298.1460697722,0.0,0.0,0.0,276298.1460697722,-276298.1460697722,25347101.211289052,25347101.211289052
74,0.0,276298.1460697722,0.0,0.0,0.0,276298.1460697722,-276298.1460697722,26845100.150009513,26845100.150009513
75,0.0,281851.7388057746,0.0,0.0,0.0,281851.7388057746,-281851.7388057746,28442405.421704404,28442405.421704404
76,0.0,281851.7388057746,0.0,0.0,0.0,281851.7388057746,-281851.7388057746,30151522.06241794,30151522.06241794
77,0.0,287516.9587557707,0.0,0.0,0.0,287516.9587557707,-287516.9587557707,31974611.64803143,31974611.64803143
78,0.0,287516.9587557707,0.0,0.0,0.0,287516.9587557707,-287516.9587557707,33925317.50463786,33925317.50463786
79,0.0,293296.0496267617,0.0,0.0,0.0,293296.0496267617,-293296.0496267617,36006793.68033575,36006793.68033575
80,0.0,293296.0496267617,0.0,0.0,0.0,293296.0496267617,-293296.0496267617,38233973.1883325,38233973.1883325
81,0.0,299191.3002242596,0.0,0.0,0.0,299191.3002242596,-299191.3002242596,40611160.01129152,40611160.01129152
82,0.0,299191.3002242596,0.0,0.0,0.0,299191.3002242596,-299191.3002242596,43154749.911857665,43154749.911857665
83,0.0,305205.04535876727,0.0,0.0,0.0,305205.04535876727,-305205.04535876727,45870377.360328935,45870377.360328935
84,0.0,305205.04535876727,0.0,0.0,0.0,305205.04535876727,-305205.04535876727,48776098.73019319,48776098.73019319
85,0.0,311339.6667704785,0.0,0.0,0.0,311339.6667704785,-311339.6667704785,51879085.97453623,51879085.97453623
