age,income,rent_payment,savings,extra_invest,buyer_equivalent_deployment,renter_total_deployment,net_cashflow,investment_balance,net_worth
73,0.0,1926523.164006619,0.0,0.0,0.0,1926523.164006619,-1926523.164006619,-51255089.94997911,-51255089.94997911
74,0.0,1926523.164006619,0.0,0.0,0.0,1926523.164006619,-1926523.164006619,-56769469.41048428,-56769469.41048428
75,0.0,2123991.7883172976,0.0,0.0,0.0,2123991.7883172976,-2123991.7883172976,-62867324.05753548,-62867324.05753548
76,0.0,2123991.7883172976,0.0,0.0,0.0,2123991.7883172976,-2123991.7883172976,-69392028.52988026,-69392028.52988026
77,0.0,2341700.946619821,0.0,0.0,0.0,2341700.946619821,-2341700.946619821,-76591171.4735917,-76591171.4735917
78,0.0,2341700.946619821,0.0,0.0,0.0,2341700.946619821,-2341700.946619821,-84294254.42336294,-84294254.42336294
79,0.0,2581725.2936483524,0.0,0.0,0.0,2581725.2936483524,-2581725.2936483524,-92776577.5266467,-92776577.5266467
80,0.0,2581725.2936483524,0.0,0.0,0.0,2581725.2936483524,-2581725.2936483524,-101852663.24716033,-101852663.24716033
81,0.0,2846352.1362473085,0.0,0.0,0.0,2846352.1362473085,-2846352.1362473085,-111828701.81070887,-111828701.81070887
82,0.0,2846352.1362473085,0.0,0.0,0.0,2846352.1362473085,-2846352.1362473085,-122503063.0737058,-122503063.0737058
83,0.0,3138103.2302126577,0.0,0.0,0.0,3138103.2302126577,-3138103.2302126577,-134216380.71907789,-134216380.71907789
84,0.0,3138103.2302126577,0.0,0.0,0.0,3138103.2302126577,-3138103.2302126577,-146749630.599626,-146749630.599626
85,0.0,3459758.8113094554,0.0,0.0,0.0,3459758.8113094554,-3459758.8113094554,-160481863.55290928,-160481863.55290928
