age,income,savings,rent_payment,mortgage_payment,management_fee,govt_rates,stamp_duty,renovation,reverse_income,reverse_lien,net_cashflow,investment_balance,property_value,net_worth
67,0.0,0.0,0.0,0.0,37452.331630620356,17477.75476095617,0.0,0.0,422079.3681557289,1330611.8031010625,367149.2817641524,1097779.5277949385,17911360.067056514,17678527.79175039
68,0.0,0.0,0.0,0.0,38201.37826323276,17827.30985617529,0.0,0.0,422079.3681557289,1796508.450538211,366050.6800363209,1141690.7089067362,18448700.86906821,17793883.127436735
69,0.0,0.0,0.0,0.0,38965.405828497416,18183.856053298794,0.0,0.0,422079.3681557289,2274052.5141612883,364930.10627393273,1187358.3372630058,19002161.895140257,17915467.718241975
70,0.0,0.0,0.0,0.0,39744.713945067364,18547.53317436477,0.0,0.0,422079.3681557289,2763535.1793749426,363787.12103629677,1234852.670753526,19572226.751994465,18043544.24337305
71,0.0,0.0,0.0,0.0,40539.60822396872,18918.48383785207,0.0,0.0,422079.3681557289,3265254.911218938,362621.2760939081,1284246.777583667,20159393.5545543,18178385.420919027
72,0.0,0.0,0.0,0.0,41350.40038844809,19296.85351460911,0.0,0.0,422079.3681557289,3779517.636359033,361432.1142526717,1335616.648687014,20764175.361190926,18320274.373518907
73,0.0,0.0,0.0,0.0,42177.408396217055,19682.790584901293,0.0,0.0,422079.3681557289,4306636.929627631,360219.1691746106,1389041.3146344945,21387100.622026656,18469505.00703352
74,0.0,0.0,0.0,0.0,43020.956564141394,20076.44639659932,0.0,0.0,422079.3681557289,4846934.205227943,358981.9651949882,1444602.9672198743,22028713.640687454,18626382.402679384
75,0.0,0.0,0.0,0.0,43881.37569542423,20477.975324531304,0.0,731356.2615904037,422079.3681557289,5400738.912718263,-373636.2444546304,1128750.8414540389,22689575.04990808,18417586.978643857
76,0.0,0.0,0.0,0.0,44759.00320933271,20887.53483102193,0.0,0.0,422079.3681557289,5968388.737895842,356432.8301153743,1173900.8751122004,23370262.30140532,18575774.43862168
77,0.0,0.0,0.0,0.0,45654.18327351936,21305.28552764237,0.0,0.0,422079.3681557289,6550229.808702859,355119.89935456717,1220856.9101166883,24071370.170447484,18741997.27186131
78,0.0,0.0,0.0,0.0,46567.26693898976,21731.39123819522,0.0,0.0,422079.3681557289,7146616.906280052,353780.7099785439,1269691.186521356,24793511.275560908,18916585.55580221
79,0.0,0.0,0.0,0.0,47498.61227776955,22166.019062959123,0.0,0.0,422079.3681557289,7757913.681296675,352414.73681500024,1320478.8339822104,25537316.613827735,19099881.766513273
80,0.0,0.0,0.0,0.0,48448.58452332494,22609.339444218305,0.0,0.0,422079.3681557289,8384492.875688713,351021.4441881857,1373297.9873414987,26303436.11224257,19292241.223895352
81,0.0,0.0,0.0,0.0,49417.55621379144,23061.526233102675,0.0,0.0,422079.3681557289,9026736.549940553,349600.28570883477,1428229.9068351588,27092539.195609845,19494032.55250445
82,0.0,0.0,0.0,0.0,50405.90733806727,23522.756757764728,0.0,0.0,422079.3681557289,9685036.316048687,348150.7040598969,1485359.1031085653,27905315.37147814,19705638.15853802
83,0.0,0.0,0.0,0.0,51414.02548482861,23993.211892920022,0.0,0.0,422079.3681557289,10359793.576309526,346672.13077798026,1544773.467232908,28742474.832622487,19927454.72354587
84,0.0,0.0,0.0,0.0,52442.30599452519,24473.076130778427,0.0,0.0,422079.3681557289,11051419.768076885,345163.9860304253,1606564.4059222243,29604749.07760116,20159893.7154465
85,0.0,0.0,0.0,0.0,53491.152114415694,24962.537653393993,0.0,0.0,0.0,11327705.262278806,-78453.68976780969,1592373.2923913037,30492891.549929198,20757559.580041695
